Experiment	Sample_name	alias	host	isolation_source	collection_date	life_stage	storage	geographic_location	province	lat_lon	container_description	env_medium	temp	ph	metagenome
SRR9598346	LS2.22S.A.AE.P2	LS2.22S.A.AE.P2	Aedes aegypti	not applicable	2016	Adult	Dry	Panama:Los Santos	Paritilla	7.62841666 N 80.17741666 W	Tank	rubber	28.42	7.44	Metagenome or environmental
SRR9598347	LS1.23S.A.AE.P3	LS1.23S.A.AE.P3	Aedes aegypti	not applicable	2016	Adult	Dry	Panama:Los Santos	La Villa	7.93636111 N 80.41577777 W	Plastic container	plastic	27.1	6.46	Metagenome or environmental
SRR9598348	LS1.23S.L.AE.P1	LS1.23S.L.AE.P1	Aedes aegypti	not applicable	2016	Larvae	Ethanol	Panama:Los Santos	La Villa	7.93636111 N 80.41577777 W	Plastic container	plastic	26.87	6.72	Metagenome or environmental
SRR9598349	LS1.22S.A.AE.P3	LS1.22S.A.AE.P3	Aedes aegypti	not applicable	2016	Adult	Dry	Panama:Los Santos	La Villa	7.94144444 N 80.41113888 W	Plastic container	plastic	27.1	6.46	Metagenome or environmental
SRR9598350	LS1.22S.A.AE.P5	LS1.22S.A.AE.P5	Aedes aegypti	not applicable	2016	Adult	Dry	Panama:Los Santos	La Villa	7.94144444 N 80.41113888 W	Plastic container	plastic	27.1	6.46	Metagenome or environmental
SRR9598351	LS1.22S.A.AE.P1	LS1.22S.A.AE.P1	Aedes aegypti	not applicable	2016	Adult	Dry	Panama:Los Santos	La Villa	7.94144444 N 80.41113888 W	Plastic container	plastic	27.1	6.46	Metagenome or environmental
SRR9598352	LS1.22S.A.AE.P2	LS1.22S.A.AE.P2	Aedes aegypti	not applicable	2016	Adult	Dry	Panama:Los Santos	La Villa	7.94144444 N 80.41113888 W	Small plastic tank	plastic	27.1	6.46	Metagenome or environmental
SRR9598355	LS1.23S.L.AE.P2	LS1.23S.L.AE.P2	Aedes aegypti	not applicable	2016	Larvae	Ethanol	Panama:Los Santos	La Villa	7.93636111 N 80.41577777 W	Small container	plastic	26.87	6.72	Metagenome or environmental
SRR9598359	CN3.19S.A.AE.P2	CN3.19S.A.AE.P2	Aedes aegypti	not applicable	2016	Adult	Dry	Panama:Colon	Portobelo	9.15493 N 80.3044 W	Plastic sheet	plastic	26.46	8.69	Metagenome or environmental
SRR9598360	CN3.19S.A.AE.P1	CN3.19S.A.AE.P1	Aedes aegypti	not applicable	2016	Adult	Dry	Panama:Colon	Portobelo	9.15493 N 80.3044 W	Plastic sheet	plastic	26.46	8.69	Metagenome or environmental
